User_ID,Add_to_Cart,Browse,Login,Purchase
User_283,2,2,1,2
User_284,3,1,2,2
User_285,2,1,1,1
User_286,0,1,6,5
User_287,1,1,5,3
User_288,0,2,5,2
User_289,3,1,2,4
User_29,0,2,0,2
User_290,1,0,1,0
User_291,0,3,2,2
User_292,3,2,4,0
User_293,4,0,2,2
User_294,1,1,4,2
User_295,0,1,1,1
User_296,2,1,3,3
User_297,0,4,3,1
User_298,1,4,2,1
User_299,2,0,2,0
User_3,2,2,1,4
User_30,1,4,3,4
User_300,4,4,2,1
User_301,3,2,2,1
User_302,4,2,5,2
User_303,1,2,1,2
User_304,3,1,3,6
User_305,0,0,0,1
User_306,1,6,2,4
User_307,1,5,1,2
User_308,2,4,2,2
User_309,4,3,1,1
User_31,2,1,2,7
User_310,2,5,2,2
User_311,3,2,0,4
User_312,2,1,3,4
User_313,0,2,2,1
User_314,5,4,4,6
User_315,3,2,5,1
User_316,3,2,2,3
User_317,1,4,3,1
User_318,2,2,5,1
User_319,1,5,1,3
User_32,3,2,5,2
User_320,1,2,0,1
User_321,2,2,2,1
User_322,1,5,4,1
User_323,3,2,3,3
User_324,0,0,5,4
User_325,1,3,1,4
User_326,1,1,2,1
User_327,3,6,1,2
User_328,6,5,0,6
User_329,4,4,1,0
User_33,3,3,4,3
User_330,3,6,3,1
User_331,0,3,3,1
User_332,2,2,0,5
User_333,1,1,0,7
User_334,2,2,3,2
User_335,3,1,1,3
User_336,3,2,3,5
User_337,2,4,4,2
User_338,2,4,1,2
User_339,1,3,6,1
User_34,1,0,2,6
User_340,4,3,2,2
User_341,2,2,0,3
User_342,1,0,2,6
User_343,3,3,3,3
User_344,0,2,3,3
User_345,1,5,4,2
User_346,1,2,3,2
User_347,1,1,5,2
User_348,3,1,3,1
User_349,2,2,2,3
User_35,4,2,3,6
User_350,1,1,1,1
User_351,5,1,1,0
User_352,4,3,1,1
User_353,1,3,4,2
User_354,2,1,2,2
User_355,5,3,5,1
User_356,7,2,3,4
User_357,3,4,3,1
User_358,4,3,3,5
User_359,0,1,3,4
User_36,1,1,2,5
User_360,1,4,2,2
User_361,1,3,3,5
User_362,3,4,5,2
User_363,2,2,3,1
User_364,6,0,1,4
User_365,5,4,2,1
User_366,2,3,5,2
User_367,3,1,3,4
User_368,5,4,4,3
User_369,4,1,4,2
User_37,4,2,3,3
User_370,3,3,1,5
User_371,2,3,3,2
User_372,1,1,2,2
User_373,5,1,2,3
User_374,3,5,4,2
User_375,5,2,2,3
User_376,3,3,1,3
User_377,0,3,2,2
User_378,3,0,4,3
User_379,1,3,1,4
User_38,1,6,2,5
User_380,4,3,3,1
User_381,4,6,3,3
User_382,1,4,0,3
User_383,3,7,3,4
User_384,0,0,6,0
User_385,3,4,1,4
User_386,4,2,6,1
User_387,1,7,5,5
User_388,1,8,1,1
User_389,2,0,5,5
User_39,3,2,2,3
User_390,4,0,1,2
User_391,4,9,1,3
User_392,2,1,1,3
User_393,3,2,3,5
User_394,0,6,4,2
User_395,1,4,1,1
User_396,4,2,1,5
User_397,1,2,2,4
User_398,4,3,2,1
User_399,2,2,1,2
User_4,1,5,3,3
User_40,5,4,1,3
User_400,1,4,4,1
User_401,2,4,1,2
User_402,4,5,2,2
User_403,4,1,1,1
User_404,4,3,3,9
User_405,1,5,2,2
User_406,3,1,3,1
User_407,3,4,1,3
User_408,3,1,3,3
User_409,1,0,2,3
User_41,1,4,4,3
User_410,5,8,2,1
User_411,2,1,4,1
User_412,0,0,1,0
User_413,4,4,2,3
User_414,2,4,5,1
User_415,1,4,2,3
User_416,1,2,0,3
User_417,1,0,5,4
User_418,2,4,1,1
User_419,5,1,2,2
User_42,1,3,2,2
User_420,2,0,2,2
User_421,4,2,1,2
User_422,3,1,0,4
User_423,1,0,1,7
User_424,5,1,1,2
User_425,4,4,3,1
User_426,3,0,2,1
User_427,4,1,1,2
User_428,2,2,0,2
User_429,5,3,2,1
User_43,2,2,3,1
User_430,1,3,1,3
User_431,1,6,1,3
User_432,4,3,0,3
User_433,2,3,1,2
User_434,1,4,3,1
User_435,3,4,4,3
User_436,2,3,4,2
User_437,0,2,1,1
User_438,2,7,4,2
User_439,6,2,2,1
User_44,1,3,2,1
User_440,4,2,2,0
User_441,2,3,2,2
User_442,0,1,5,1
User_443,1,3,7,2
User_444,1,3,4,5
User_445,4,4,2,3
User_446,4,3,1,5
User_447,2,2,1,1
User_448,4,3,2,2
User_449,2,3,4,2
User_45,1,2,5,4
User_450,2,4,1,3
User_451,3,3,5,0
User_452,2,4,3,1
User_453,0,3,0,5
User_454,1,0,5,3
User_455,0,1,1,1
User_456,4,3,4,0
User_457,7,1,1,2
User_458,2,1,3,2
User_459,3,2,1,5
User_46,2,2,3,2
User_460,2,0,3,3
User_461,2,2,2,0
User_462,6,3,1,1
User_463,2,6,4,2
User_464,1,0,5,3
User_465,3,2,2,2
User_466,5,2,2,3
User_467,5,3,2,3
User_468,1,1,1,4
User_469,2,4,2,3
User_47,4,4,2,3
User_470,1,1,5,4
User_471,5,3,3,2
User_472,6,5,2,5
User_473,1,4,1,3
User_474,0,5,1,2
User_475,2,2,6,1
User_476,2,3,4,1
User_477,2,0,2,5
User_478,4,2,2,2
User_479,3,2,2,3
User_48,4,0,6,2
User_480,2,2,2,2
User_481,4,0,3,2
User_482,4,4,3,1
User_483,3,4,3,3
User_484,3,3,2,3
User_485,1,2,7,2
User_486,2,2,0,3
User_487,3,2,0,0
User_488,3,3,2,2
User_489,0,2,6,4
User_49,4,2,2,4
User_490,4,2,2,2
User_491,0,1,2,1
User_492,1,6,5,4
User_493,1,1,1,1
User_494,1,3,1,3
User_495,1,6,1,3
User_496,6,0,3,2
User_497,4,2,3,4
User_498,3,2,1,4
User_499,1,3,1,2
User_5,3,2,1,0
User_50,3,3,3,5
User_500,4,2,2,0
User_501,2,1,1,3
User_502,3,3,0,0
User_503,2,4,3,3
User_504,3,2,4,5
User_505,3,6,4,2
User_506,2,2,2,3
User_507,2,4,4,2
User_508,4,2,3,2
User_509,4,4,1,2
User_51,4,3,2,3
User_510,1,4,3,1
User_511,1,2,4,4
User_512,1,1,4,3
User_513,1,3,1,3
User_514,1,1,3,0
User_515,3,6,7,1
User_516,5,5,3,2
User_517,3,2,2,1
User_518,1,2,2,2
User_519,1,0,1,2
User_52,3,2,5,2
User_520,2,1,3,8
User_521,1,3,2,1
User_522,0,3,1,1
User_523,2,2,3,1
User_524,1,0,6,4
User_525,0,5,4,2
User_526,0,3,3,4
User_527,1,5,3,1
User_528,1,3,2,3
User_529,4,2,3,5
User_53,3,3,3,2
User_530,2,5,5,4
User_531,4,6,1,2
User_532,4,4,5,3
User_533,2,0,3,6
User_534,1,2,2,4
User_535,3,0,0,1
User_536,1,2,1,3
User_537,6,3,3,5
User_538,3,4,3,3
User_539,1,0,1,3
User_54,1,0,1,2
User_540,1,3,1,3
User_541,2,6,5,3
User_542,6,3,1,2
User_543,2,3,1,4
User_544,0,3,3,2
User_545,2,4,1,0
User_546,1,0,3,4
User_547,1,3,1,1
User_548,3,4,4,2
User_549,2,2,1,4
User_55,8,3,4,3
User_550,2,3,1,2
User_551,6,3,1,3
User_552,2,4,4,1
User_553,0,2,2,1
User_554,5,3,2,2
User_555,4,5,2,0
User_556,2,3,3,3
User_557,2,2,2,5
User_558,2,5,1,2
User_559,3,4,3,4
User_56,1,3,3,2
User_560,3,4,1,2
User_561,1,4,3,1
User_562,5,1,1,2
User_563,3,4,3,0
User_564,1,2,1,2
User_565,4,1,0,2
User_566,6,2,1,3
User_567,0,1,2,2
User_568,3,3,2,3
User_569,3,1,2,3
User_57,7,4,2,2
User_570,3,5,5,2
User_571,1,2,3,4
User_572,0,1,1,4
User_573,1,2,3,5
User_574,2,0,3,3
User_575,3,4,1,3
User_576,4,2,3,1
User_577,2,1,2,0
User_578,4,1,0,3
User_579,1,3,4,3
User_58,2,3,2,1
User_580,2,2,1,0
User_581,5,3,2,4
User_582,1,2,2,1
User_583,3,4,0,0
User_584,2,5,1,4
User_585,0,3,2,3
User_586,1,3,2,5
User_587,3,2,3,2
User_588,4,7,2,4
User_589,3,2,4,2
User_59,5,0,4,1
User_590,3,1,2,5
User_591,3,1,3,3
User_592,4,0,1,0
User_593,4,6,4,0
User_594,2,0,4,2
User_595,0,5,2,2
User_596,0,2,4,3
User_597,2,3,3,3
User_598,3,4,1,2
User_599,3,1,2,2
User_6,8,5,5,2
User_60,0,1,3,3
User_600,4,2,4,7
User_601,2,5,1,0
User_602,4,2,1,4
User_603,2,4,6,5
User_604,1,1,4,3
User_605,3,0,6,3
User_606,4,0,1,2
User_607,3,2,1,1
User_608,5,3,3,2
User_609,1,5,6,2
User_61,1,2,2,2
User_610,3,2,2,2
User_611,1,4,1,3
User_612,1,3,1,2
User_613,1,2,2,5
User_614,2,3,2,0
User_615,2,2,4,4
User_616,1,4,1,3
User_617,4,2,1,6
User_618,2,1,3,2
User_619,3,3,4,3
User_62,1,1,2,4
User_620,3,6,2,0
User_621,5,5,3,4
User_622,4,2,2,0
User_623,0,1,3,4
User_624,5,1,0,3
User_625,4,1,4,6
User_626,5,3,2,4
User_627,0,2,2,1
User_628,3,5,3,1
User_629,2,0,3,3
User_63,5,0,3,1
User_630,3,2,2,2
User_631,2,4,3,0
User_632,4,3,0,5
User_633,5,0,3,1
User_634,4,1,2,4
User_635,2,5,3,1
User_636,0,2,2,1
User_637,4,3,2,1
User_638,1,2,3,1
User_639,0,2,5,3
User_64,3,1,3,0
User_640,4,2,5,0
User_641,1,1,0,2
User_642,1,5,2,1
User_643,3,3,4,2
User_644,4,4,2,2
User_645,3,3,1,5
User_646,5,2,1,3
User_647,1,1,1,1
User_648,1,0,3,1
User_649,1,2,3,2
User_65,4,5,3,1
User_650,3,4,1,4
User_651,0,5,4,2
User_652,3,6,3,2
User_653,4,1,2,1
User_654,1,3,4,2
User_655,3,4,3,2
User_656,3,2,6,3
User_657,2,2,5,0
User_658,1,2,3,2
User_659,3,4,5,3
User_66,1,2,2,5
User_660,2,2,3,1
User_661,4,2,0,1
User_662,2,2,3,0
User_663,2,2,2,4
User_664,2,5,3,3
User_665,4,1,1,1
User_666,1,1,3,3
User_667,2,2,3,2
User_668,2,4,3,3
User_669,5,2,1,4
User_67,3,1,0,1
User_670,2,1,2,3
User_671,5,1,4,3
User_672,7,2,1,0
User_673,2,4,1,1
User_674,1,1,5,1
User_675,4,5,5,5
User_676,3,3,4,2
User_677,2,1,4,0
User_678,3,4,4,3
User_679,2,3,3,2
User_68,1,3,1,0
User_680,2,5,2,4
User_681,2,2,2,0
User_682,1,2,2,1
User_683,2,3,3,3
User_684,3,1,3,2
User_685,1,2,5,2
User_686,2,1,4,3
User_687,1,3,2,5
User_688,4,3,0,1
User_689,2,0,1,0
User_69,1,3,3,3
User_690,1,3,0,5
User_691,5,2,0,3
User_692,1,1,5,0
User_693,1,4,3,1
User_694,2,5,1,4
User_695,1,6,4,0
User_696,6,8,5,1
User_697,1,2,5,3
User_698,1,0,3,1
User_699,4,3,4,3
User_7,5,1,5,4
User_70,3,3,3,3
User_700,4,2,5,3
User_701,3,2,4,1
User_702,2,1,4,4
User_703,4,2,3,4
User_704,4,2,4,5
User_705,2,2,1,2
User_706,4,1,3,5
User_707,3,5,3,0
User_708,4,4,2,2
User_709,5,0,1,2
User_71,2,1,3,3
User_710,1,2,4,3
User_711,2,1,2,0
User_712,4,1,5,2
User_713,5,3,3,5
User_714,3,2,2,0
User_715,4,3,3,5
User_716,3,2,2,3
User_717,2,4,2,3
User_718,2,2,2,1
User_719,0,4,1,3
User_72,1,4,1,2
User_720,0,2,3,2
User_721,1,5,2,4
User_722,3,2,2,2
User_723,2,2,2,3
User_724,0,0,3,0
User_725,3,2,1,4
User_726,5,1,7,4
User_727,3,3,5,0
User_728,1,1,1,1
User_729,3,3,2,2
User_73,2,0,5,6
User_730,0,1,1,1
User_731,2,2,0,1
User_732,4,1,0,1
User_733,4,2,4,1
User_734,1,0,3,0
User_735,1,4,3,6
User_736,4,2,1,2
User_737,4,2,1,2
User_738,1,1,4,4
User_739,3,1,2,2
User_74,3,2,0,3
User_740,3,3,0,4
User_741,1,2,2,7
User_742,1,1,2,1
User_743,4,3,3,4
User_744,4,4,3,2
User_745,4,1,2,1
User_746,2,0,3,2
User_747,5,2,3,4
User_748,1,0,2,2
User_749,5,4,2,2
User_75,2,0,2,4
User_750,2,0,1,1
User_751,4,6,4,2
User_752,1,2,0,3
User_753,3,5,1,2
User_754,1,3,2,4
User_755,3,1,1,4
User_756,1,5,5,2
User_757,1,2,2,1
User_758,0,4,2,3
User_759,0,2,4,0
User_76,2,1,0,3
User_760,0,4,4,0
User_761,3,3,2,2
User_762,2,3,6,3
User_763,1,5,4,3
User_764,5,3,2,2
User_765,4,0,4,3
User_766,4,1,5,1
User_767,3,7,5,2
User_768,0,3,1,2
User_769,1,3,1,5
User_77,3,5,1,2
User_770,1,5,2,2
User_771,3,5,1,2
User_772,3,4,3,3
User_773,5,1,3,0
User_774,2,2,1,1
User_775,3,3,2,4
User_776,4,4,3,5
User_777,2,4,1,7
User_778,3,1,1,5
User_779,3,2,3,4
User_78,3,1,0,2
User_780,4,2,3,1
User_781,2,2,1,2
User_782,3,3,3,0
User_783,5,4,3,2
User_784,5,1,4,1
User_785,3,0,2,3
User_786,4,0,1,2
User_787,4,1,2,2
User_788,0,1,3,2
User_789,2,2,3,2
User_79,2,1,2,3
User_790,3,5,3,2
User_791,3,2,3,5
User_792,3,2,3,1
User_793,3,1,1,1
User_794,2,5,3,4
User_795,4,1,3,1
User_796,5,4,1,2
User_797,2,0,4,2
User_798,1,1,2,0
User_799,2,2,1,3
User_8,3,2,2,2
User_80,5,2,3,1
User_800,3,1,0,2
User_801,2,0,4,0
User_802,3,7,3,0
User_803,6,4,0,3
User_804,1,3,5,1
User_805,5,3,4,3
User_806,3,1,4,3
User_807,5,3,2,1
User_808,5,2,4,4
User_809,2,2,3,0
User_81,1,0,2,2
User_810,5,3,4,4
User_811,4,3,1,3
User_812,3,1,6,1
User_813,3,5,2,6
User_814,3,3,2,1
User_815,3,2,2,2
User_816,5,2,5,1
User_817,4,1,1,0
User_818,0,0,2,3
User_819,3,2,2,2
User_82,0,1,5,2
User_820,1,4,1,3
User_821,6,2,5,1
User_822,2,3,1,1
User_823,6,2,3,5
User_824,3,1,3,5
User_825,5,1,3,3
User_826,3,3,3,9
User_827,6,2,1,7
User_828,1,1,2,3
User_829,1,2,1,4
User_83,1,4,3,3
User_830,1,2,1,3
User_831,0,4,2,1
User_832,1,0,4,3
User_833,3,0,2,4
User_834,5,0,0,1
User_835,1,2,2,0
User_836,1,4,1,1
User_837,2,4,3,6
User_838,1,1,4,3
User_839,1,3,4,1
User_84,5,0,1,2
User_840,2,5,5,4
User_841,3,3,1,3
User_842,0,2,3,4
User_843,2,4,1,4
User_844,4,2,0,4
User_845,4,5,1,1
User_846,0,1,1,4
User_847,5,2,3,0
User_848,5,1,0,4
User_849,5,2,2,2
User_85,3,1,5,1
User_850,0,0,2,3
User_851,6,0,8,2
User_852,2,1,5,6
User_853,0,7,2,3
User_854,2,7,4,2
User_855,3,0,3,4
User_856,0,3,1,4
User_857,4,4,0,3
User_858,2,4,4,2
User_859,2,2,1,2
User_86,1,2,0,6
User_860,1,2,1,2
User_861,4,2,1,3
User_862,5,3,0,1
User_863,7,1,3,3
User_864,4,3,5,2
User_865,3,1,2,5
User_866,3,3,2,2
User_867,2,2,1,3
User_868,3,3,3,1
User_869,2,1,2,3
User_87,1,1,3,5
User_870,1,2,1,4
User_871,2,3,6,3
User_872,5,2,2,5
User_873,3,6,1,0
User_874,2,4,4,3
User_875,2,1,1,2
User_876,4,2,4,1
User_877,2,3,0,0
User_878,0,2,4,2
User_879,4,2,2,3
User_88,5,1,1,1
User_880,1,4,5,5
User_881,1,2,3,1
User_882,1,0,3,2
User_883,6,4,3,2
User_884,2,2,2,1
User_885,4,2,0,3
User_886,0,3,4,1
User_887,2,1,3,6
User_888,1,4,6,3
User_889,9,2,2,3
User_89,4,2,2,5
User_890,2,1,3,3
User_891,2,1,3,0
User_892,5,0,5,5
User_893,2,6,1,4
User_894,5,2,2,2
User_895,4,3,3,2
User_896,2,4,3,2
User_897,0,2,1,3
User_898,2,1,2,4
User_899,1,1,2,6
User_9,1,1,3,2
User_90,3,2,2,0
User_900,2,5,4,4
User_901,5,3,1,2
User_902,1,3,4,5
User_903,0,0,3,4
User_904,1,3,3,1
User_905,2,2,1,4
User_906,1,2,3,4
User_907,3,2,3,2
User_908,3,0,3,2
User_909,2,0,2,2
User_91,4,2,3,1
User_910,2,3,3,7
User_911,3,1,3,1
User_912,4,1,0,3
User_913,2,2,2,2
User_914,5,3,4,4
User_915,0,1,8,1
User_916,1,1,1,4
User_917,3,2,3,2
User_918,2,0,6,0
User_919,3,0,3,2
User_92,2,4,1,4
User_920,3,0,4,2
User_921,2,3,3,2
User_922,5,3,2,3
User_923,4,3,1,2
User_924,3,1,3,1
User_925,7,1,2,3
User_926,1,1,5,2
User_927,1,0,2,4
User_928,4,2,3,3
User_929,1,4,0,1
User_93,2,4,2,0
User_930,0,0,4,2
User_931,3,1,2,3
User_932,3,2,6,1
User_933,2,1,0,0
User_934,0,3,0,3
User_935,6,1,3,1
User_936,1,6,4,1
User_937,0,4,2,3
User_938,4,2,6,1
User_939,3,2,2,1
User_94,2,1,5,3
User_940,3,2,2,4
User_941,1,1,1,5
User_942,5,1,0,2
User_943,1,6,8,4
User_944,3,3,4,1
User_945,3,7,1,2
User_946,2,1,9,2
User_947,3,1,0,3
User_948,3,1,2,1
User_949,4,2,2,2
User_95,2,6,0,2
User_950,8,2,3,1
User_951,1,2,3,3
User_952,3,3,2,6
User_953,1,0,3,3
User_954,3,4,2,3
User_955,4,5,3,1
User_956,2,3,1,3
User_957,1,1,1,3
User_958,4,1,2,2
User_959,2,4,4,2
User_96,3,3,2,1
User_960,2,3,2,2
User_961,2,3,2,3
User_962,1,3,4,2
User_963,3,0,1,3
User_964,2,4,2,1
User_965,1,1,3,2
User_966,3,2,3,7
User_967,1,4,6,4
User_968,7,1,1,3
User_969,3,2,4,3
User_97,2,0,3,2
User_970,2,2,5,5
User_971,3,1,0,4
User_972,4,2,2,2
User_973,5,3,3,3
User_974,1,0,2,0
User_975,1,2,1,0
User_976,3,1,1,2
User_977,4,2,2,3
User_978,2,5,2,2
User_979,4,2,3,1
User_98,2,4,3,2
User_980,0,6,1,1
User_981,4,0,3,1
User_982,0,1,3,1
User_983,2,7,4,4
User_984,3,3,3,5
User_985,2,3,0,3
User_986,2,2,2,2
User_987,1,2,2,2
User_988,4,3,2,0
User_989,3,6,4,1
User_99,2,3,3,4
User_990,6,2,3,1
User_991,6,3,4,3
User_992,2,0,7,6
User_993,1,2,2,3
User_994,4,3,1,3
User_995,3,4,4,3
User_996,3,3,1,5
User_997,3,3,4,2
User_998,4,5,2,1
User_999,3,3,3,1
